[2024-06-13 16:10:33] [INFO    ] discord.client: logging in using static token
[2024-06-13 16:10:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2024-06-13 16:10:34] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2024-06-13 16:10:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1248292283883851919', 'username': 'AniSoul', 'avatar': 'e02544af993125b111251b9248ec8e96', 'discriminator': '1971', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2024-06-13 16:10:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2024-06-13 16:10:34] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2024-06-13 16:10:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1248292283883851919', 'name': 'AniSoul', 'icon': 'e02544af993125b111251b9248ec8e96', 'description': '', 'type': None, 'bot': {'id': '1248292283883851919', 'username': 'AniSoul', 'avatar': 'e02544af993125b111251b9248ec8e96', 'discriminator': '1971', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'banner_color': None, 'clan': None}, 'summary': '', 'is_monetized': False, 'bot_public': True, 'bot_require_code_grant': False, 'integration_types_config': {'0': {}}, 'verify_key': '02946432d5c8d99822c5c3f43c3d87e82f03da6e6d8f047982e9a88d436260e3', 'flags': 524288, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '549978500518379530', 'username': 'naxocist', 'avatar': '7841f61091bab444dfd94f7b06ffcc02', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 16777215, 'global_name': 'Naxocist', 'avatar_decoration_data': None, 'banner_color': '#ffffff', 'clan': None}, 'approximate_guild_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 192, 'monetization_state': 1, 'verification_eligibility_flags': 90396, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2}
[2024-06-13 16:10:34] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2024-06-13 16:10:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-s7kf",{"micros":0.0}]']}}
[2024-06-13 16:10:34] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2024-06-13 16:10:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-06-13 16:10:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'AniSoul', 'mfa_enabled': False, 'id': '1248292283883851919', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1971', 'clan': None, 'bot': True, 'avatar': 'e02544af993125b111251b9248ec8e96'}, 'static_client_session_id': 'dc5572ea-1a18-4645-82f4-0b98f4aa4332', 'session_type': 'normal', 'session_id': 'b44e729e1868ef67a762fc2b15e8395f', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '932196152491786300'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['hongkong', 'singapore', 'india', 'japan', 'dubai'], 'auth': {}, 'application': {'id': '1248292283883851919', 'flags': 524288}, '_trace': ['["gateway-prd-us-east1-d-s7kf",{"micros":178800,"calls":["id_created",{"micros":824,"calls":[]},"session_lookup_time",{"micros":13737,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-1-267",{"micros":163932,"calls":["start_session",{"micros":107502,"calls":["discord-api-pyupgrade-cbd48ddd7-vzctr",{"micros":72146,"calls":["get_user",{"micros":5130},"get_guilds",{"micros":11159},"send_scheduled_deletion_message",{"micros":7},"guild_join_requests",{"micros":271},"authorized_ip_coro",{"micros":7}]}]},"starting_guild_connect",{"micros":65,"calls":[]},"presence_started",{"micros":22223,"calls":[]},"guilds_started",{"micros":95,"calls":[]},"guilds_connect",{"micros":4,"calls":[]},"presence_connect",{"micros":33991,"calls":[]},"connect_finished",{"micros":34000,"calls":[]},"build_ready",{"micros":41,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2024-06-13 16:10:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-06-13 16:10:35] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: b44e729e1868ef67a762fc2b15e8395f).
[2024-06-13 16:10:35] [DEBUG   ] discord.client: Dispatching event connect
